,symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
1426,UST,2024-10-21 23:59:59,2024-10-21 00:00:00,2024-10-21 23:59:59,2024-10-21 16:24:00,2024-10-21 13:56:00,0.0221090617,0.0249168692,0.0214223309,0.023053507,69050551.17,134400532.19,5829938692.03
1427,UST,2024-10-22 23:59:59,2024-10-22 00:00:00,2024-10-22 23:59:59,2024-10-22 05:27:00,2024-10-22 13:53:00,0.023053507,0.0247880024,0.0224947058,0.0235032731,43811441.28,137021426.87,5829887014.45
1428,UST,2024-10-23 23:59:59,2024-10-23 00:00:00,2024-10-23 23:59:59,2024-10-23 01:38:00,2024-10-23 18:08:00,0.0235032731,0.0235417837,0.0213962772,0.0219128367,16613546.11,127747419.1,5829798105.31
1429,UST,2024-10-24 23:59:59,2024-10-24 00:00:00,2024-10-24 23:59:59,2024-10-24 21:29:00,2024-10-24 09:04:00,0.0220029813,0.0224053074,0.0216084657,0.0221646932,8187595.88,129215353.58,5829783077.14
1430,UST,2024-10-25 23:59:59,2024-10-25 00:00:00,2024-10-25 23:59:59,2024-10-25 17:11:00,2024-10-25 23:26:00,0.0221646932,0.0225708701,0.019533038,0.0201015784,18434486.78,117186231.82,5829703005.92
1431,UST,2024-10-26 23:59:59,2024-10-26 00:00:00,2024-10-26 23:59:59,2024-10-26 05:09:00,2024-10-26 00:07:00,0.0201015784,0.0209124676,0.0199427198,0.0208486598,9762378.74,121540841.09,5829671647.08
1432,UST,2024-10-27 23:59:59,2024-10-27 00:00:00,2024-10-27 23:59:59,2024-10-27 13:35:00,2024-10-27 09:05:00,0.0208486598,0.0224393246,0.0205318836,0.021591918,22938426.41,125873426.22,5829654700.28
1433,UST,2024-10-28 23:59:59,2024-10-28 00:00:00,2024-10-28 23:59:59,2024-10-28 22:10:00,2024-10-28 17:08:00,0.021591918,0.0219046867,0.0209267981,0.0217214384,9658698.9,126628012.59,5829632941.83
1434,UST,2024-10-29 23:59:59,2024-10-29 00:00:00,2024-10-29 23:59:59,2024-10-29 17:05:00,2024-10-29 00:11:00,0.0217214384,0.0227618492,0.0216862941,0.0225315869,10720554.62,131349856.4,5829587456.35
1435,UST,2024-10-30 23:59:59,2024-10-30 00:00:00,2024-10-30 23:59:59,2024-10-30 22:13:00,2024-10-30 01:12:00,0.0225315869,0.0238013368,0.0224530221,0.0233953587,20408318.22,136382638.18,5829495136.14
1436,UST,2024-10-31 23:59:59,2024-10-31 00:00:00,2024-10-31 23:59:59,2024-10-31 02:46:00,2024-10-31 18:19:00,0.0233952744,0.028061868,0.0233347898,0.0237585846,110959055.71,138498532.32,5829410074.36
1437,UST,2024-11-01 23:59:59,2024-11-01 00:00:00,2024-11-01 23:59:59,2024-11-01 00:00:00,2024-11-01 21:38:00,0.0237585846,0.023758963,0.0218978445,0.0222357002,26644907.38,129620440.32,5829384238.25
1438,UST,2024-11-02 23:59:59,2024-11-02 00:00:00,2024-11-02 23:59:59,2024-11-02 00:26:00,2024-11-02 18:31:00,0.0222357002,0.0225936588,0.0211959965,0.0214992085,10882952.75,125326911.54,5829373277.08
1439,UST,2024-11-03 23:59:59,2024-11-03 00:00:00,2024-11-03 23:59:59,2024-11-03 00:32:00,2024-11-03 15:10:00,0.0214992085,0.0215992348,0.0192758331,0.0201305476,17392373.63,117347255.75,5829312655.33
1440,UST,2024-11-04 23:59:59,2024-11-04 00:00:00,2024-11-04 23:59:59,2024-11-04 13:04:00,2024-11-04 21:59:00,0.0201305476,0.0211635779,0.0194529496,0.0199110075,18913746.49,110799506.65,5564736319.06
1441,UST,2024-11-05 23:59:59,2024-11-05 00:00:00,2024-11-05 23:59:59,2024-11-05 17:18:00,2024-11-05 01:43:00,0.0199110075,0.0212978197,0.0198313958,0.0209727467,15730703.92,116707486.61,5564721134.35
1442,UST,2024-11-06 23:59:59,2024-11-06 00:00:00,2024-11-06 23:59:59,2024-11-06 23:03:00,2024-11-06 00:03:00,0.0209727467,0.0231096734,0.0209649467,0.0229722029,36202117.25,127831331.89,5564609202.14
1443,UST,2024-11-07 23:59:59,2024-11-07 00:00:00,2024-11-07 23:59:59,2024-11-07 12:40:00,2024-11-07 06:51:00,0.0229722029,0.0237465101,0.0224873322,0.0230576536,21510305.59,128306652.47,5564601439.55
1444,UST,2024-11-08 23:59:59,2024-11-08 00:00:00,2024-11-08 23:59:59,2024-11-08 01:28:00,2024-11-08 17:11:00,0.0230576536,0.0232430538,0.0220037024,0.0225447809,12852376.98,125450112.9,5564582114.87
1445,UST,2024-11-09 23:59:59,2024-11-09 00:00:00,2024-11-09 23:59:59,2024-11-09 12:55:00,2024-11-09 02:27:00,0.0225447809,0.025774824,0.0223588835,0.0241770285,57904816.21,134534641.28,5564564779.55
1446,UST,2024-11-10 23:59:59,2024-11-10 00:00:00,2024-11-10 23:59:59,2024-11-10 13:28:00,2024-11-10 21:14:00,0.0241770285,0.0259786151,0.0234693131,0.0247209887,90287544.31,137560986.79,5564542288.3
1447,UST,2024-11-11 23:59:59,2024-11-11 00:00:00,2024-11-11 23:59:59,2024-11-11 05:22:00,2024-11-11 14:25:00,0.0247209887,0.025988192,0.0241238391,0.0255687941,72731485.37,142277907.68,5564513794.27
1448,UST,2024-11-12 23:59:59,2024-11-12 00:00:00,2024-11-12 23:59:59,2024-11-12 07:32:00,2024-11-12 16:25:00,0.0255687941,0.0258778669,0.022478553,0.0235438305,49227266.31,131009260.64,5564483688.91
1449,UST,2024-11-13 23:59:59,2024-11-13 00:00:00,2024-11-13 23:59:59,2024-11-13 00:47:00,2024-11-13 06:40:00,0.0235438305,0.023828232,0.0212574004,0.02236395,37501359.73,124443270.99,5564458481.17
1450,UST,2024-11-14 23:59:59,2024-11-14 00:00:00,2024-11-14 23:59:59,2024-11-14 05:01:00,2024-11-14 23:43:00,0.02236395,0.0233732616,0.021305795,0.0215899676,24139033.2,120135580.77,5564416901.21
1451,UST,2024-11-15 23:59:59,2024-11-15 00:00:00,2024-11-15 23:59:59,2024-11-15 22:13:00,2024-11-15 04:52:00,0.0215899676,0.0228218447,0.02091637,0.0226037015,23978572.27,125775862.16,5564392154.11
1452,UST,2024-11-16 23:59:59,2024-11-16 00:00:00,2024-11-16 23:59:59,2024-11-16 11:34:00,2024-11-16 00:16:00,0.0225388994,0.0266955922,0.0224810286,0.024696331,93102154.14,137418898.31,5564344689.3
1453,UST,2024-11-17 23:59:59,2024-11-17 00:00:00,2024-11-17 23:59:59,2024-11-17 00:15:00,2024-11-17 22:10:00,0.024696331,0.0247184038,0.0223830644,0.0227541954,25459209.19,126611554.65,5564316918.44
1454,UST,2024-11-18 23:59:59,2024-11-18 00:00:00,2024-11-18 23:59:59,2024-11-18 11:25:00,2024-11-18 00:14:00,0.0227541954,0.0239063984,0.0225822269,0.0236501116,21139626.74,131595619.85,5564270566.1
