timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-07-19T00:00:00.000Z";"2022-07-19T23:59:59.999Z";"2022-07-19T00:00:00.000Z";"2022-07-19T08:43:00.000Z";"2781";0.04489495;0.04489495;0.0422974585;0.0430012588;18995770.6;422078354.7;9815488344.36;"2022-07-19T23:59:59.999Z"
"2022-07-18T00:00:00.000Z";"2022-07-18T23:59:59.999Z";"2022-07-18T16:53:00.000Z";"2022-07-18T01:03:00.000Z";"2781";0.0432515774;0.0468751171;0.0424404041;0.0448775859;25054365.31;440494100.71;9815458909.37;"2022-07-18T23:59:59.999Z"
"2022-07-17T00:00:00.000Z";"2022-07-17T23:59:59.999Z";"2022-07-17T12:34:00.000Z";"2022-07-17T20:11:00.000Z";"2781";0.0433515767;0.044976064;0.0426197089;0.0432550146;20423231.3;424567690.54;9815455944.01;"2022-07-17T23:59:59.999Z"
"2022-07-16T00:00:00.000Z";"2022-07-16T23:59:59.999Z";"2022-07-16T03:07:00.000Z";"2022-07-16T23:47:00.000Z";"2781";0.0501151071;0.0511031701;0.0432360974;0.043343548;40074061.59;425436671.18;9815455595.57;"2022-07-16T23:59:59.999Z"
"2022-07-15T00:00:00.000Z";"2022-07-15T23:59:59.999Z";"2022-07-15T22:52:00.000Z";"2022-07-15T01:34:00.000Z";"2781";0.0357836876;0.0525159263;0.0347085732;0.0500961555;71663430.28;491716550.34;9815454799.45;"2022-07-15T23:59:59.999Z"
"2022-07-14T00:00:00.000Z";"2022-07-14T23:59:59.999Z";"2022-07-14T00:02:00.000Z";"2022-07-14T11:43:00.000Z";"2781";0.0395944679;0.0396293572;0.0342105616;0.0357896896;21846056.19;351292060.34;9815454227.11;"2022-07-14T23:59:59.999Z"
"2022-07-13T00:00:00.000Z";"2022-07-13T23:59:59.999Z";"2022-07-13T05:53:00.000Z";"2022-07-13T13:34:00.000Z";"2781";0.0418814562;0.0429990318;0.0376105436;0.0395900302;25536645.35;388594066.61;9815452650.81;"2022-07-13T23:59:59.999Z"
"2022-07-12T00:00:00.000Z";"2022-07-12T23:59:59.999Z";"2022-07-12T00:01:00.000Z";"2022-07-12T23:58:00.000Z";"2781";0.0477131157;0.0478164741;0.0418352556;0.0418601698;25634726.75;410876485.31;9815451956.21;"2022-07-12T23:59:59.999Z"
"2022-07-11T00:00:00.000Z";"2022-07-11T23:59:59.999Z";"2022-07-11T00:04:00.000Z";"2022-07-11T23:49:00.000Z";"2781";0.0511916698;0.0516397626;0.0476593059;0.0477031856;18182507.18;468228336.28;9815452155.51;"2022-07-11T23:59:59.999Z"
"2022-07-10T00:00:00.000Z";"2022-07-10T23:59:59.999Z";"2022-07-10T03:13:00.000Z";"2022-07-10T00:31:00.000Z";"2781";0.0487343633;0.0538309975;0.0486614314;0.0511810872;40048584.5;502365552.34;9815452932.1;"2022-07-10T23:59:59.999Z"
